reviewid,content,sentiment,product,price,delivery,service,app,source_file
78569fdc-07a6-4c8f-a557-fd650aad4439,tệ hại.tiki làm ơn bỏ dùm cái vụ nhận xét tối thiểu 50 ký tự dùm...đôi khi 1 sản phẩm tốt chỉ cần 1 tốt là đủ đánh giá 1 món hàng....,neutral,1,1,0,0,0,absa_annotation_batch_003.csv
bb1522ea-0524-4367-a6f4-970e9f1741a8,Chức năng tìm kiếm sản phẩm quá tệ!,negative,1,0,0,0,0,absa_annotation_batch_002.csv
bb05ea24-cae8-49e4-95b9-18cbda85bab0,"Vì sao? Tôi mua ,nhận hàng trả tiền sau không được!.",neutral,1,1,0,0,0,absa_annotation_batch_002.csv
3d949703-f52b-436f-b8eb-ddc66f4143b9,Rất tuyệt vời!,positive,0,0,0,0,0,absa_annotation_batch_002.csv
856d121e-6305-4e31-a7dc-5f6a4fe25ed6,"bản cập nhật mới bị mất mục sản phẩm mua sau trong giỏ hàng, cảm thấy khá bất tiện, hy vọng sớm khắc phục",neutral,1,0,0,0,1,absa_annotation_batch_003.csv
56d5d0be-092e-499e-8d47-ca3132fb2ae2,cái kiểu mà mua đặt hàng 4.5 ngày rồi không giao sản phẩm lên giá thì báo hủy đơn hàng .rồi thông báo lỗi.lỗi j vậy,negative,1,1,0,0,1,absa_annotation_batch_003.csv
20ad1a38-d687-4851-a9f6-bb428cfa9cb6,Muốn mua bộ dây vòi,negative,0,0,0,0,0,absa_annotation_batch_001.csv
cd87d2bd-71fd-4163-abab-efe6d406b0dd,Ship quá tệ,negative,0,0,1,0,0,absa_annotation_batch_002.csv
20f80ce2-8002-4b58-baed-7c07e7caf14d,"ôi em vừa vào chọn đồ, hễ nhấp vào là bị thoát ra k thể nào đc. Phải làm cách nào để khắc phục ạ?",positive,0,0,0,0,0,absa_annotation_batch_003.csv
e40fe441-3177-4af2-b346-4c94a6e3a844,Mỗi lần vào đều phải đăng nhập lại thực sự khó chịu,negative,0,0,0,0,1,absa_annotation_batch_001.csv
22edee69-39e3-44d6-9360-3eab945ae445,Ko bit có tốn tiền ship ko nhỉ,neutral,0,1,1,0,0,absa_annotation_batch_002.csv
6581fa14-e8a1-4749-a581-2adacd1ac001,Lừa đảo giựt cô hồn gì chưa 1s đã hết món,negative,0,0,0,0,0,absa_annotation_batch_003.csv
9ad2d56b-0cc6-44e6-91b6-5cefec7e2a8e,Giá sản phẩm cao hơn các trang thương mại điện tử khác.,neutral,1,1,0,0,0,absa_annotation_batch_001.csv
e19a753f-1ddd-43b3-8c1a-1020e2cd7ad1,Không thích cách giao hàng và thời gian giao hàng của giao hành nhanh (rất chậm),positive,1,0,1,0,0,absa_annotation_batch_002.csv
07fdf174-a1bc-4df6-9ce8-8d417c855b47,"Có hay, co dở",neutral,0,0,0,0,0,absa_annotation_batch_003.csv
9922e884-5feb-4cde-9a03-eb36254b99fd,Tiki bảo trì lâu quá,neutral,0,0,0,0,0,absa_annotation_batch_002.csv
adecd38c-171c-414a-a607-ecb2dfea9f2f,"Tiki giao hàng nhanh, rất tiện cho mấy người hay nôn nóng như mình, về khoản sách thì cứ tiki mà quất thoi.",positive,1,0,1,0,0,absa_annotation_batch_003.csv
2ec8315d-368f-4793-a803-dc8ae1643d8c,Cái vụ quay trúng xu. Vậy xu dê làm gì vậy mọi người,neutral,0,0,0,0,0,absa_annotation_batch_002.csv
d1881e27-8f0e-481c-854b-ed6ed8c2e2f2,Cung rat hay nha xa hang cuoi nam nay hay lam luong do,positive,0,0,0,0,0,absa_annotation_batch_003.csv
a9ac3fc3-20ff-48d1-b8ee-94b2b37bde36,"Ổn rẻ chất lượng có lẽ thế, phí ship không mắc , đáng cài đặt ❤",positive,1,1,1,0,0,absa_annotation_batch_002.csv
bafe6347-91c2-4bf1-8297-7e073d1d0880,Toàn giới thiệu free mà ... ko thấy free,neutral,0,0,0,0,0,absa_annotation_batch_001.csv
60976aea-34be-48ac-a716-727cc73026aa,Hừ hu hu g Hữu g Hữu ý ggg hủy bỏ Đồng ý với ý nghĩa của,neutral,0,0,0,0,0,absa_annotation_batch_003.csv
d747231a-7668-4031-9eeb-99276ac7f424,"quãng cáo deal cho đã, vào canh méo có, ai cũng bị vậy. Hồi đầu tiki là nơi tin tưởng nhất, giờ thất vọng quá",negative,0,0,0,0,0,absa_annotation_batch_003.csv
66c5e4f3-d3ea-4d4c-80d3-b469157e7367,Tạm được...👌,positive,0,0,0,0,0,absa_annotation_batch_003.csv
