reviewid,content,sentiment,product,price,delivery,service,app,sentiment_original,sentiment_changed,content_polarity,mismatch_reason,flagged,product_prefill,price_prefill,delivery_prefill,service_prefill,app_prefill,prefill_review_note
1fb9ccff-a034-48a8-a8bf-3efef218ae34,Cần sử lý đuổi mấy shop lừa đảo,negative,0,0,0,0,0,positive,True,negative,score-based sentiment is positive but content looks negative,True,0,0,0,0,0,review sentiment auto-adjusted; manual review recommended; all aspects are 0; verify if review is general
0f1a7f4f-7ed2-4c57-bde6-049190910d3b,"hơi thiếu chuyên nghiệp , không hiện tiền ship - không hiện địa điểm shop",negative,0,1,1,0,0,negative,False,negative,,False,0,1,1,0,0,
4f0cdab5-2638-4673-9f1c-c5af636a9507,"ngày càng tệ,cho xuống 3.*",neutral,0,0,0,0,0,neutral,False,unclear,,False,0,0,0,0,0,all aspects are 0; verify if review is general
906ff0c9-7d45-49c8-a0e0-d1f957d916c7,tôi rất thích,positive,0,0,0,0,0,positive,False,positive,,False,0,0,0,0,0,all aspects are 0; verify if review is general
d9194409-d9b7-4163-ab1e-6fa80410bde1,Đặt hàng ngày cn 2/2/2020 hẹn thứ 3 ngày 4/2/2020 giao mà cuối cùng không giao Giao hàng vô trách nhiệm,negative,1,0,1,0,0,negative,False,negative,,False,1,0,1,0,0,
72b13d86-ab29-471e-8356-ccb1fa03c286,Hang nhanh phi giam rat tot,positive,0,0,0,0,0,neutral,True,positive,score-based sentiment is neutral but content looks positive,True,0,0,0,0,0,review sentiment auto-adjusted; manual review recommended; all aspects are 0; verify if review is general
b2d41e2b-944a-4938-995e-2c8856393824,mua đồng hồ chống nước,positive,0,0,0,0,0,positive,False,unclear,,False,0,0,0,0,0,all aspects are 0; verify if review is general
7342e0f1-8c0e-45c8-b065-d912d7cf07c4,Ứng dụng mua sắm,neutral,0,0,0,0,1,neutral,False,unclear,,False,0,0,0,0,1,
672b5cc9-a926-4f08-ad71-3ba8cd6c421b,"App rất nhanh, không phải đợi load thông tin 92ma",positive,0,0,0,0,1,positive,False,unclear,,False,0,0,0,0,1,
73614626-a54f-41d4-aefa-0ee9944f4a44,"Khá tệ, chả hiện sản phẩm cần mua mà cứ báo lỗi.",negative,1,0,0,0,1,negative,False,negative,,False,1,0,0,0,1,
a7201f8c-2dff-417a-bf7e-934440d7b83e,Mình dùng thấy ok,neutral,0,0,0,0,0,neutral,False,unclear,,False,0,0,0,0,0,all aspects are 0; verify if review is general
c40cfe4c-c82b-4475-8039-37cd1582802e,Làm ơn đừng hiện quảng cáo ép người ta cài đặt ứng dụng nữa,negative,0,0,0,0,1,negative,False,unclear,,False,0,0,0,0,1,
5a988de3-ac25-4e3f-9bb7-e0b91799326d,Thấy nói 39k 11k Freeship mà ấn vào tiền ship cao hơn tiền mua.xạo lz,neutral,0,1,1,0,0,neutral,False,unclear,,False,0,1,1,0,0,
e40fe441-3177-4af2-b346-4c94a6e3a844,Mỗi lần vào đều phải đăng nhập lại thực sự khó chịu,negative,0,0,0,0,1,negative,False,negative,,False,0,0,0,0,1,
5bdc3a05-fdf2-443c-bd90-261c3b773c83,Rất nhiều đồ rẻ mà còn chất lượng nữa,positive,1,1,0,0,0,neutral,True,positive,score-based sentiment is neutral but content looks positive,True,1,1,0,0,0,review sentiment auto-adjusted; manual review recommended
4b9855b9-7e38-428b-9a44-3ef6441901ae,San phẩm tốt,positive,0,0,0,0,0,positive,False,unclear,,False,0,0,0,0,0,all aspects are 0; verify if review is general
acbc3de1-7393-4808-b8d9-047d11659887,sản phẩm tốt như trong hình,positive,1,0,0,0,0,positive,False,unclear,,False,1,0,0,0,0,
af0a5fdc-a937-4400-aced-55828935a666,"Có một số mặt hàng vẫn chưa được bày bán, mong tiki có thêm nhiều sản phẩm hơn",neutral,1,0,0,0,0,neutral,False,unclear,,False,1,0,0,0,0,
ee450e21-b31f-4e81-ad35-55d5f036fce2,"Shop quảng cáo láo, k trung thực đề nghị tẩy chay",negative,0,0,0,0,0,negative,False,unclear,,False,0,0,0,0,0,all aspects are 0; verify if review is general
8ef302a7-dadb-445a-9a6b-820adeba16fc,Xử lý đơn hàng quá chậm.tôi đặt mua cái loa mà 3 ngày rồi mà đơn hàng vẫn chưa xử lý..gọi shop thì ko bắt máy,negative,1,0,0,0,1,negative,False,negative,,False,1,0,0,0,1,
08cf70f5-7a43-4050-af3d-6b7b83747283,Như quần què Mua không sản phẩm toàn là giấy Mn đừng tải về,negative,1,0,0,0,0,negative,False,unclear,,False,1,0,0,0,0,
eff9a83c-733e-4e63-9812-eb9e6b9b1661,Quá tệ. Đơn giao quá lâu. Giao trễ thì không một thông báo. Gọi điện thì ko ai nghe. Ko coi khách hàng ra gì. Tệ hơn tiki hay lazada rất nhiều. Chatbot vô dụng không giải quyết được gì.cho 1 sao vì không có 0 sao.,negative,1,0,0,0,0,negative,False,negative,,False,1,0,0,0,0,
2fd296fd-1a2b-4902-adcc-788d25c051c7,Tại sao tải ứng dụng về rồi không mở được.,negative,0,0,0,0,1,neutral,True,negative,score-based sentiment is neutral but content looks negative,True,0,0,0,0,1,review sentiment auto-adjusted; manual review recommended
42d259b8-90ba-453b-90a5-a194e07f84b3,Nơi mua sắm uy tín và tiện lợi.,positive,0,0,0,0,0,positive,False,positive,,False,0,0,0,0,0,all aspects are 0; verify if review is general
64825b97-b7ff-444e-99c0-e4842a467c89,Phan ngọc diệp có vay trung thương mà ko sen do phan hoi gì hết,negative,0,0,0,0,0,negative,False,unclear,,False,0,0,0,0,0,all aspects are 0; verify if review is general
