reviewid,content,sentiment,product,price,delivery,service,app,sentiment_original,sentiment_changed,content_polarity,mismatch_reason,flagged,product_prefill,price_prefill,delivery_prefill,service_prefill,app_prefill,prefill_review_note
2381534f-da8f-4018-909f-16808bb82265,"Hay bị lỗi hệ thống, ko tham gia được nhiều chương trình",neutral,0,0,0,0,1,neutral,False,unclear,,False,0,0,0,0,1,
f6bf1e90-bb27-47e0-bb53-b36cbfbbd85a,Vì mik thik,positive,0,0,0,0,0,positive,False,unclear,,False,0,0,0,0,0,all aspects are 0; verify if review is general
082d9467-cb46-43f9-90d5-1e7f4d554aa4,chưa được tốt lắm,neutral,0,0,0,0,0,neutral,False,unclear,,False,0,0,0,0,0,all aspects are 0; verify if review is general
788bedbd-e3bb-4ec0-87d1-6d92a569e18d,rất hài lòng,positive,0,0,0,0,0,positive,False,positive,,False,0,0,0,0,0,all aspects are 0; verify if review is general
e4f2fbc5-0074-4d9e-bc0e-724b54f37b0a,Ủng hộ Tiki dài dài.,positive,0,0,0,0,0,positive,False,unclear,,False,0,0,0,0,0,all aspects are 0; verify if review is general
c3a1e087-6789-4f7a-85b0-1e1504613888,"Dịch vụ giao hàng của BEST quá chậm. Đặt hàng từ 3/02 hẹn khách 07/2 trên App nhận hàng đến 09/02 mới nhận được hàng. 2 kiện hàng đặt đều trễ như nhau Tôi phải chờ đợi để nhận hàng vì ko có người thân nhận giúp. 1 trải nghiệm cực kỳ tệ hại Chính thức xoá App Tiki vì Tổng đài gọi ko được, email phản hồi trong 24h, automation app tào lao.",negative,1,0,1,1,1,negative,False,negative,,False,1,0,1,1,1,
113181c2-b6b9-42f5-a8ea-197d225fb702,"Xài app tiki cũng khá lâu, nhưng mà cái lỗi nhập địa chỉ vào cứ báo là địa chỉ ko hợp lệ mãi ko hết. Hôm nay cần kíp phải đặt hàng, lại bị nên đành đổi cảm nhận 5 sao xuống 2 sao, hi vọng tiki sớm khắc phục.",negative,1,0,0,0,1,negative,False,negative,,False,1,0,0,0,1,
8f94863d-bbbf-4a43-85e3-abadcf8254a0,"Tiki giao hàng khá nhanh , thường là trước lúc dự kiến giao hàng nhưng như vậy lại đâm ra không biết Tiki giao lúc nào dẫn đến hủy hàng của khách , tiki nên thông báo chính xác giờ giao hàng trước 1 ngày hoặc ít hơn để khách tiện xử lý , bình thường ở nhà không giao vừa ra ngoài là gọi giao hàng . nên cho khách chọn khung giờ rảnh rỗi để lấy hàng , khắc phục được sẽ cho 5 sao . cảm ơn",negative,0,0,1,1,0,neutral,True,negative,score-based sentiment is neutral but content looks negative,True,1,0,1,0,0,review sentiment auto-adjusted; manual review recommended
fa893a33-95af-4341-9e7f-96a540d1fa49,"rất tệ, giao hàg chậm vô cùng, thấy quảg cáo cx rầm rộ cơ mà lm ăn trớt qướt, chờ dài cổ ra, troq trag tiki có chỗ ghi là hàng đag đc vận chuyển, click vào đấy k có j cả mặc fuf đã đặt hàg cả tuần r, trong khj tiki đã tiếp nhận và đã để là sẵn sàg giao hàg. thật thất vọg đây là lần đầu cx như lần cuối tôi nói đến cái tên Tiki",negative,1,0,1,0,0,negative,False,negative,,False,1,0,1,0,0,
10564da8-d43f-48e6-97a8-3607c661a543,ok lắm. thks shop,positive,0,0,0,0,0,positive,False,unclear,,False,0,0,0,0,0,all aspects are 0; verify if review is general
ac5dd9c2-4354-415b-8d55-18bcd0e9639e,Ko biết nó có giao hàng trong vòng 2 giờ ko,neutral,1,0,1,0,0,neutral,False,unclear,,False,1,0,1,0,0,
bf9b955c-e375-41fd-ba11-d15ee4bde048,"App sài rất mượt, rất dễ mua hàng 1vrvu",positive,1,0,0,0,1,positive,False,unclear,,False,1,0,0,0,1,
8002cf70-5eaf-44c9-af3e-4af391520c78,"Mày thích quảng cáo ko, con mẹ nó làm cái gì cũng chỏ cái mỏ vô quảng cáo, mày với shope ,lazada là chuyên gia đấy :)",positive,0,0,0,0,0,negative,True,positive,score-based sentiment is negative but content looks positive,True,0,0,0,0,0,review sentiment auto-adjusted; manual review recommended; all aspects are 0; verify if review is general
8388a408-fca1-4af0-96b9-353a0cf7f972,"Giao hàng nhanh chóng, đúng sảng phẩm 😘😘😘",positive,1,0,1,0,0,positive,False,positive,,False,1,0,1,0,0,
1e04875f-4ee1-4b48-b74d-b75c63ec26d1,"Tiki giao hàng chậm so với các tranh mua bán khác, mình vẫn ok vì chất lượng sp tốt, đóng gói kỹ, nhân viên giao hàng thân thiện. nhưng dạo này thấy dịch vụ cskh càng đi xuống. bảo hành sản phẩm rất lâu và hình như không có để ý đến yêu cầu của kh.",positive,1,0,1,1,0,neutral,True,positive,score-based sentiment is neutral but content looks positive,True,1,0,1,1,0,review sentiment auto-adjusted; manual review recommended
57f3dc9a-3660-42dc-8850-9156f505c862,lần đầu tiên tải và mua hàng bị ship cho đợi nắng 30p gọi lại thì bảo chiều mới giao,negative,1,0,1,0,0,negative,False,unclear,,False,1,0,1,0,0,
b506af46-1865-4ea2-8149-88d279c13312,Sale mà giống lừa đảo quá. Iphone 12 giá 11k căn đúng 21h00'00 giây nhấn mua vẫn báo phải thanh toán 24 triệu mấy trăm trở lại xem lại cái thấy đã bán hết hàng. Mình có quay lại clip săn hàng chắc phải tung lên mạng để mọi người cùng biết.,negative,1,1,0,0,1,negative,False,negative,,False,1,1,0,0,1,
821567ce-7a33-455e-a6d1-ace0712f3e6b,"Mỗi lần mua hàng đã số là phải chờ đến từ 5 đến 6 ngày mới nhận được hàng , tôi đặt hàng 2 lần 1 sản phẩm đó và cùng 1 shop đó ,1 lần thì đợi đến khoản 7 ngày người giao hàng kg liên hệ với tôi mà lại bị hủy đơn do giao kg thành công, và 1 lần thì đợi shop xác nhận đến khoản 7 ngày cũng bị hủy đơn vì shop chưa xác nhận có hàng , mỗi khách sử dụng đc 5 mã miễn phí vận chuyển từ 0đ trong tuần vậy mà tôi chưa dùng đủ 5 mã đã kg dg đc nữa. vv.. NAM MÔ A DI ĐÀ PHẬT",negative,1,1,1,0,0,negative,False,unclear,,False,1,1,1,0,0,
b42ab59c-226c-47f4-9874-c5e275a3b107,Ko tai ve duoc,negative,0,0,0,0,0,negative,False,unclear,,False,0,0,0,0,0,all aspects are 0; verify if review is general
38b99313-0d5b-4b53-b888-5dd2b2391575,Lần đầu cũng là lần cuối mua ở tiki làm ăn rất là nề mề tưởng tiki chắc chắc lắm . Ai zè ko bằng 1 phần của shoppe và lazada giao hàng sai ko có nút trả hàng gọi nhân viên gần tháng trời ko đc xử lý lúc nào cũng chờ,negative,1,0,1,1,0,negative,False,unclear,,False,1,0,1,1,0,
